error_type,vis_now_10m,vis_tplus1_10m,station
TP,19.0,19.0,Baengnyeongdo
TP,19.0,55.0,Baengnyeongdo
FP,55.0,932.0,Baengnyeongdo
TP,125.0,70.0,Baengnyeongdo
TP,70.0,22.0,Baengnyeongdo
TP,22.0,30.0,Baengnyeongdo
TP,30.0,34.0,Baengnyeongdo
TP,34.0,22.0,Baengnyeongdo
TP,22.0,28.0,Baengnyeongdo
TP,28.0,65.0,Baengnyeongdo
TP,65.0,71.0,Baengnyeongdo
TP,71.0,71.0,Baengnyeongdo
TP,71.0,21.0,Baengnyeongdo
TP,21.0,17.0,Baengnyeongdo
TP,17.0,15.0,Baengnyeongdo
TP,15.0,17.0,Baengnyeongdo
TP,17.0,18.0,Baengnyeongdo
TP,18.0,19.0,Baengnyeongdo
TP,19.0,38.0,Baengnyeongdo
FN,273.0,39.0,Baengnyeongdo
FP,39.0,171.0,Baengnyeongdo
FP,171.0,166.0,Baengnyeongdo
FN,1781.0,47.0,Baengnyeongdo
TP,47.0,36.0,Baengnyeongdo
FP,36.0,701.0,Baengnyeongdo
FN,343.0,22.0,Baengnyeongdo
TP,22.0,21.0,Baengnyeongdo
TP,21.0,31.0,Baengnyeongdo
FP,31.0,4027.0,Baengnyeongdo
FP,121.0,154.0,Baengnyeongdo
FN,154.0,47.0,Baengnyeongdo
FP,47.0,327.0,Baengnyeongdo
FN,617.0,72.0,Baengnyeongdo
TP,72.0,39.0,Baengnyeongdo
FP,39.0,114.0,Baengnyeongdo
FP,114.0,1318.0,Baengnyeongdo
FN,361.0,26.0,Baengnyeongdo
TP,26.0,49.0,Baengnyeongdo
TP,49.0,55.0,Baengnyeongdo
FP,55.0,163.0,Baengnyeongdo
FP,163.0,224.0,Baengnyeongdo
FN,224.0,43.0,Baengnyeongdo
TP,43.0,27.0,Baengnyeongdo
TP,27.0,49.0,Baengnyeongdo
TP,49.0,27.0,Baengnyeongdo
TP,27.0,25.0,Baengnyeongdo
TP,25.0,26.0,Baengnyeongdo
TP,26.0,21.0,Baengnyeongdo
FP,21.0,195.0,Baengnyeongdo
TP,195.0,29.0,Baengnyeongdo
TP,29.0,74.0,Baengnyeongdo
TP,74.0,51.0,Baengnyeongdo
FP,51.0,499.0,Baengnyeongdo
FN,156.0,98.0,Baengnyeongdo
TP,98.0,71.0,Baengnyeongdo
FP,71.0,163.0,Baengnyeongdo
FN,275.0,51.0,Baengnyeongdo
FP,51.0,275.0,Baengnyeongdo
FN,853.0,89.0,Baengnyeongdo
TP,89.0,35.0,Baengnyeongdo
FP,35.0,115.0,Baengnyeongdo
FN,115.0,56.0,Baengnyeongdo
TP,56.0,90.0,Baengnyeongdo
FN,628.0,59.0,Baengnyeongdo
TP,59.0,27.0,Baengnyeongdo
TP,27.0,57.0,Baengnyeongdo
FP,57.0,163.0,Baengnyeongdo
FN,751.0,77.0,Baengnyeongdo
TP,77.0,99.0,Baengnyeongdo
TP,99.0,93.0,Baengnyeongdo
TP,93.0,99.0,Baengnyeongdo
FP,99.0,103.0,Baengnyeongdo
FP,103.0,170.0,Baengnyeongdo
TP,111.0,88.0,Baengnyeongdo
FP,88.0,126.0,Baengnyeongdo
FP,126.0,579.0,Baengnyeongdo
FN,193.0,23.0,Baengnyeongdo
TP,23.0,15.0,Baengnyeongdo
TP,15.0,18.0,Baengnyeongdo
TP,18.0,18.0,Baengnyeongdo
TP,18.0,22.0,Baengnyeongdo
FP,22.0,791.0,Baengnyeongdo
FN,252.0,90.0,Baengnyeongdo
FP,90.0,647.0,Baengnyeongdo
FN,636.0,53.0,Baengnyeongdo
TP,53.0,43.0,Baengnyeongdo
FP,43.0,106.0,Baengnyeongdo
FP,106.0,204.0,Baengnyeongdo
TP,204.0,45.0,Baengnyeongdo
TP,45.0,90.0,Baengnyeongdo
FP,90.0,140.0,Baengnyeongdo
FP,140.0,284.0,Baengnyeongdo
FN,1406.0,97.0,Baengnyeongdo
FP,97.0,389.0,Baengnyeongdo
FP,217.0,200.0,Baengnyeongdo
FP,200.0,461.0,Baengnyeongdo
TP,140.0,79.0,Baengnyeongdo
TP,79.0,89.0,Baengnyeongdo
TP,89.0,91.0,Baengnyeongdo
TP,91.0,54.0,Baengnyeongdo
TP,54.0,90.0,Baengnyeongdo
FP,90.0,440.0,Baengnyeongdo
FN,754.0,28.0,Baengnyeongdo
FP,28.0,631.0,Baengnyeongdo
FN,367.0,6.0,Baengnyeongdo
FP,6.0,123.0,Baengnyeongdo
FP,123.0,467.0,Baengnyeongdo
FN,567.0,14.0,Baengnyeongdo
FP,14.0,401.0,Baengnyeongdo
FN,401.0,32.0,Baengnyeongdo
FP,208.0,310.0,Baengnyeongdo
FN,159.0,92.0,Baengnyeongdo
TP,92.0,71.0,Baengnyeongdo
FP,71.0,687.0,Baengnyeongdo
FN,931.0,33.0,Baengnyeongdo
TP,33.0,24.0,Baengnyeongdo
FP,24.0,139.0,Baengnyeongdo
TP,139.0,12.0,Baengnyeongdo
TP,12.0,11.0,Baengnyeongdo
TP,11.0,19.0,Baengnyeongdo
TP,19.0,19.0,Baengnyeongdo
TP,19.0,18.0,Baengnyeongdo
TP,18.0,63.0,Baengnyeongdo
TP,63.0,21.0,Baengnyeongdo
TP,21.0,21.0,Baengnyeongdo
TP,21.0,46.0,Baengnyeongdo
TP,46.0,63.0,Baengnyeongdo
FP,63.0,421.0,Baengnyeongdo
FN,462.0,85.0,Baengnyeongdo
TP,85.0,22.0,Baengnyeongdo
TP,22.0,21.0,Baengnyeongdo
TP,21.0,25.0,Baengnyeongdo
TP,25.0,21.0,Baengnyeongdo
TP,21.0,23.0,Baengnyeongdo
TP,23.0,17.0,Baengnyeongdo
TP,17.0,16.0,Baengnyeongdo
TP,16.0,19.0,Baengnyeongdo
TP,19.0,24.0,Baengnyeongdo
TP,24.0,46.0,Baengnyeongdo
TP,46.0,60.0,Baengnyeongdo
TP,60.0,86.0,Baengnyeongdo
TP,86.0,38.0,Baengnyeongdo
FP,38.0,496.0,Baengnyeongdo
FN,331.0,37.0,Baengnyeongdo
FP,37.0,235.0,Baengnyeongdo
TP,235.0,39.0,Baengnyeongdo
TP,39.0,45.0,Baengnyeongdo
TP,45.0,91.0,Baengnyeongdo
TP,91.0,29.0,Baengnyeongdo
TP,29.0,37.0,Baengnyeongdo
TP,37.0,15.0,Baengnyeongdo
TP,15.0,18.0,Baengnyeongdo
TP,18.0,18.0,Baengnyeongdo
TP,18.0,17.0,Baengnyeongdo
TP,17.0,16.0,Baengnyeongdo
TP,16.0,23.0,Baengnyeongdo
TP,23.0,32.0,Baengnyeongdo
TP,32.0,55.0,Baengnyeongdo
TP,252.0,94.0,Baengnyeongdo
TP,94.0,48.0,Baengnyeongdo
TP,48.0,22.0,Baengnyeongdo
TP,22.0,45.0,Baengnyeongdo
TP,45.0,33.0,Baengnyeongdo
TP,33.0,28.0,Baengnyeongdo
TP,28.0,34.0,Baengnyeongdo
FP,34.0,110.0,Baengnyeongdo
FN,686.0,81.0,Baengnyeongdo
TP,81.0,32.0,Baengnyeongdo
FP,32.0,244.0,Baengnyeongdo
TP,244.0,21.0,Baengnyeongdo
TP,21.0,31.0,Baengnyeongdo
FP,31.0,171.0,Baengnyeongdo
TP,171.0,21.0,Baengnyeongdo
TP,21.0,90.0,Baengnyeongdo
FP,90.0,252.0,Baengnyeongdo
FP,252.0,289.0,Baengnyeongdo
FN,305.0,17.0,Baengnyeongdo
FP,17.0,195.0,Baengnyeongdo
TP,195.0,57.0,Baengnyeongdo
TP,57.0,46.0,Baengnyeongdo
TP,46.0,14.0,Baengnyeongdo
FP,14.0,253.0,Baengnyeongdo
FP,253.0,169.0,Baengnyeongdo
FN,856.0,51.0,Baengnyeongdo
TP,51.0,35.0,Baengnyeongdo
FP,35.0,312.0,Baengnyeongdo
FP,312.0,141.0,Baengnyeongdo
FP,141.0,280.0,Baengnyeongdo
TP,135.0,13.0,Baengnyeongdo
FP,13.0,295.0,Baengnyeongdo
FP,295.0,211.0,Baengnyeongdo
FP,112.0,279.0,Baengnyeongdo
FP,127.0,450.0,Baengnyeongdo
TP,159.0,30.0,Baengnyeongdo
TP,30.0,27.0,Baengnyeongdo
FP,27.0,161.0,Baengnyeongdo
TP,161.0,28.0,Baengnyeongdo
TP,28.0,21.0,Baengnyeongdo
TP,21.0,13.0,Baengnyeongdo
FP,13.0,522.0,Baengnyeongdo
TP,135.0,15.0,Baengnyeongdo
FP,15.0,232.0,Baengnyeongdo
FP,232.0,139.0,Baengnyeongdo
FP,139.0,238.0,Baengnyeongdo
TP,239.0,35.0,Baengnyeongdo
TP,35.0,33.0,Baengnyeongdo
TP,33.0,49.0,Baengnyeongdo
FP,49.0,206.0,Baengnyeongdo
FN,206.0,51.0,Baengnyeongdo
TP,51.0,86.0,Baengnyeongdo
FP,86.0,142.0,Baengnyeongdo
FP,142.0,338.0,Baengnyeongdo
FN,292.0,57.0,Baengnyeongdo
TP,57.0,96.0,Baengnyeongdo
TP,96.0,72.0,Baengnyeongdo
TP,72.0,21.0,Baengnyeongdo
TP,21.0,25.0,Baengnyeongdo
FP,25.0,280.0,Baengnyeongdo
FP,280.0,415.0,Baengnyeongdo
FP,320.0,329.0,Baengnyeongdo
FN,149.0,40.0,Baengnyeongdo
FP,40.0,478.0,Baengnyeongdo
FN,478.0,83.0,Baengnyeongdo
TP,83.0,16.0,Baengnyeongdo
TP,16.0,17.0,Baengnyeongdo
TP,17.0,23.0,Baengnyeongdo
TP,23.0,27.0,Baengnyeongdo
TP,27.0,51.0,Baengnyeongdo
FP,51.0,414.0,Baengnyeongdo
TP,164.0,43.0,Baengnyeongdo
TP,43.0,25.0,Baengnyeongdo
TP,25.0,17.0,Baengnyeongdo
TP,17.0,21.0,Baengnyeongdo
FP,21.0,128.0,Baengnyeongdo
FP,128.0,140.0,Baengnyeongdo
TP,140.0,19.0,Baengnyeongdo
FP,19.0,135.0,Baengnyeongdo
FP,135.0,189.0,Baengnyeongdo
FP,141.0,241.0,Baengnyeongdo
TP,241.0,21.0,Baengnyeongdo
TP,21.0,34.0,Baengnyeongdo
FP,34.0,135.0,Baengnyeongdo
TP,135.0,22.0,Baengnyeongdo
TP,22.0,25.0,Baengnyeongdo
TP,25.0,17.0,Baengnyeongdo
TP,17.0,27.0,Baengnyeongdo
FP,27.0,684.0,Baengnyeongdo
FN,684.0,85.0,Baengnyeongdo
FN,223.0,77.0,Baengnyeongdo
FP,77.0,216.0,Baengnyeongdo
FP,216.0,368.0,Baengnyeongdo
FN,344.0,17.0,Baengnyeongdo
FP,17.0,138.0,Baengnyeongdo
TP,138.0,32.0,Baengnyeongdo
TP,32.0,17.0,Baengnyeongdo
FP,17.0,221.0,Baengnyeongdo
FP,221.0,495.0,Baengnyeongdo
FP,127.0,367.0,Baengnyeongdo
FN,238.0,72.0,Baengnyeongdo
TP,72.0,51.0,Baengnyeongdo
TP,51.0,61.0,Baengnyeongdo
TP,61.0,62.0,Baengnyeongdo
TP,62.0,59.0,Baengnyeongdo
FP,59.0,147.0,Baengnyeongdo
FP,147.0,207.0,Baengnyeongdo
FN,181.0,49.0,Baengnyeongdo
TP,49.0,54.0,Baengnyeongdo
TP,54.0,79.0,Baengnyeongdo
TP,79.0,94.0,Baengnyeongdo
FP,94.0,464.0,Baengnyeongdo
FN,544.0,40.0,Baengnyeongdo
FP,40.0,398.0,Baengnyeongdo
FN,398.0,15.0,Baengnyeongdo
FP,15.0,225.0,Baengnyeongdo
FP,225.0,424.0,Baengnyeongdo
FN,443.0,40.0,Baengnyeongdo
FP,40.0,221.0,Baengnyeongdo
FN,432.0,60.0,Baengnyeongdo
FP,60.0,430.0,Baengnyeongdo
FN,360.0,70.0,Baengnyeongdo
TP,70.0,28.0,Baengnyeongdo
TP,28.0,39.0,Baengnyeongdo
FP,39.0,137.0,Baengnyeongdo
TP,137.0,25.0,Baengnyeongdo
TP,25.0,62.0,Baengnyeongdo
TP,62.0,30.0,Baengnyeongdo
TP,30.0,37.0,Baengnyeongdo
TP,37.0,29.0,Baengnyeongdo
TP,29.0,13.0,Baengnyeongdo
TP,13.0,19.0,Baengnyeongdo
TP,19.0,22.0,Baengnyeongdo
TP,22.0,25.0,Baengnyeongdo
FP,25.0,505.0,Baengnyeongdo
FN,948.0,19.0,Baengnyeongdo
TP,19.0,14.0,Baengnyeongdo
TP,14.0,35.0,Baengnyeongdo
TP,35.0,21.0,Baengnyeongdo
TP,21.0,30.0,Baengnyeongdo
TP,30.0,33.0,Baengnyeongdo
TP,33.0,25.0,Baengnyeongdo
TP,25.0,24.0,Baengnyeongdo
TP,24.0,41.0,Baengnyeongdo
TP,41.0,62.0,Baengnyeongdo
FP,62.0,1008.0,Baengnyeongdo
FP,117.0,421.0,Baengnyeongdo
FP,140.0,127.0,Baengnyeongdo
TP,127.0,54.0,Baengnyeongdo
FP,54.0,269.0,Baengnyeongdo
FN,269.0,85.0,Baengnyeongdo
FP,85.0,160.0,Baengnyeongdo
TP,160.0,28.0,Baengnyeongdo
FP,28.0,174.0,Baengnyeongdo
TP,174.0,53.0,Baengnyeongdo
TP,53.0,25.0,Baengnyeongdo
TP,25.0,42.0,Baengnyeongdo
TP,42.0,91.0,Baengnyeongdo
FP,91.0,128.0,Baengnyeongdo
FN,207.0,42.0,Baengnyeongdo
TP,42.0,14.0,Baengnyeongdo
TP,14.0,17.0,Baengnyeongdo
TP,17.0,80.0,Baengnyeongdo
TP,80.0,26.0,Baengnyeongdo
TP,26.0,17.0,Baengnyeongdo
FP,17.0,305.0,Baengnyeongdo
TP,305.0,24.0,Baengnyeongdo
TP,24.0,21.0,Baengnyeongdo
TP,21.0,22.0,Baengnyeongdo
TP,22.0,11.0,Baengnyeongdo
TP,11.0,11.0,Baengnyeongdo
TP,11.0,11.0,Baengnyeongdo
TP,11.0,15.0,Baengnyeongdo
TP,15.0,96.0,Baengnyeongdo
FP,96.0,597.0,Baengnyeongdo
FP,136.0,131.0,Baengnyeongdo
FP,131.0,110.0,Baengnyeongdo
TP,110.0,95.0,Baengnyeongdo
TP,95.0,21.0,Baengnyeongdo
TP,21.0,21.0,Baengnyeongdo
TP,21.0,45.0,Baengnyeongdo
TP,45.0,5.0,Baengnyeongdo
TP,5.0,9.0,Baengnyeongdo
FP,9.0,163.0,Baengnyeongdo
FP,163.0,187.0,Baengnyeongdo
FP,187.0,180.0,Baengnyeongdo
FP,180.0,186.0,Baengnyeongdo
FP,186.0,154.0,Baengnyeongdo
FP,154.0,174.0,Baengnyeongdo
FP,120.0,344.0,Baengnyeongdo
FP,120.0,101.0,Baengnyeongdo
FP,101.0,789.0,Baengnyeongdo
FN,489.0,89.0,Baengnyeongdo
FP,89.0,238.0,Baengnyeongdo
FN,182.0,36.0,Baengnyeongdo
TP,36.0,21.0,Baengnyeongdo
FP,21.0,168.0,Baengnyeongdo
FP,168.0,109.0,Baengnyeongdo
TP,109.0,31.0,Baengnyeongdo
TP,31.0,16.0,Baengnyeongdo
TP,16.0,61.0,Baengnyeongdo
FP,61.0,324.0,Baengnyeongdo
FN,324.0,26.0,Baengnyeongdo
FP,26.0,147.0,Baengnyeongdo
FN,180.0,61.0,Baengnyeongdo
TP,61.0,43.0,Baengnyeongdo
TP,43.0,57.0,Baengnyeongdo
TP,57.0,42.0,Baengnyeongdo
TP,42.0,38.0,Baengnyeongdo
TP,38.0,26.0,Baengnyeongdo
TP,26.0,25.0,Baengnyeongdo
TP,25.0,31.0,Baengnyeongdo
TP,31.0,31.0,Baengnyeongdo
FP,31.0,128.0,Baengnyeongdo
TP,128.0,79.0,Baengnyeongdo
TP,79.0,48.0,Baengnyeongdo
FP,48.0,723.0,Baengnyeongdo
FN,310.0,80.0,Baengnyeongdo
FP,80.0,227.0,Baengnyeongdo
TP,227.0,40.0,Baengnyeongdo
TP,40.0,68.0,Baengnyeongdo
TP,68.0,24.0,Baengnyeongdo
FP,24.0,265.0,Baengnyeongdo
TP,265.0,44.0,Baengnyeongdo
TP,44.0,70.0,Baengnyeongdo
TP,70.0,51.0,Baengnyeongdo
TP,51.0,83.0,Baengnyeongdo
FP,83.0,308.0,Baengnyeongdo
FP,160.0,393.0,Baengnyeongdo
FN,362.0,51.0,Baengnyeongdo
FP,51.0,578.0,Baengnyeongdo
TP,131.0,78.0,Baengnyeongdo
TP,78.0,87.0,Baengnyeongdo
FP,87.0,101.0,Baengnyeongdo
TP,101.0,28.0,Baengnyeongdo
TP,28.0,31.0,Baengnyeongdo
TP,31.0,81.0,Baengnyeongdo
FP,81.0,556.0,Baengnyeongdo
FN,490.0,88.0,Baengnyeongdo
TP,88.0,40.0,Baengnyeongdo
TP,40.0,63.0,Baengnyeongdo
TP,63.0,52.0,Baengnyeongdo
TP,52.0,80.0,Baengnyeongdo
FP,80.0,234.0,Baengnyeongdo
FP,234.0,160.0,Baengnyeongdo
TP,160.0,41.0,Baengnyeongdo
TP,41.0,37.0,Baengnyeongdo
TP,37.0,24.0,Baengnyeongdo
TP,24.0,2.0,Baengnyeongdo
TP,2.0,6.0,Baengnyeongdo
TP,6.0,6.0,Baengnyeongdo
TP,6.0,53.0,Baengnyeongdo
FN,119.0,65.0,Baengnyeongdo
TP,65.0,34.0,Baengnyeongdo
TP,34.0,47.0,Baengnyeongdo
TP,47.0,36.0,Baengnyeongdo
TP,36.0,51.0,Baengnyeongdo
TP,51.0,30.0,Baengnyeongdo
TP,30.0,24.0,Baengnyeongdo
TP,24.0,28.0,Baengnyeongdo
TP,28.0,90.0,Baengnyeongdo
FP,90.0,663.0,Baengnyeongdo
FN,171.0,26.0,Baengnyeongdo
TP,26.0,44.0,Baengnyeongdo
TP,44.0,35.0,Baengnyeongdo
TP,35.0,31.0,Baengnyeongdo
FP,31.0,213.0,Baengnyeongdo
FP,105.0,186.0,Baengnyeongdo
FN,136.0,77.0,Baengnyeongdo
TP,77.0,86.0,Baengnyeongdo
FP,86.0,128.0,Baengnyeongdo
TP,128.0,91.0,Baengnyeongdo
TP,91.0,58.0,Baengnyeongdo
TP,58.0,22.0,Baengnyeongdo
TP,22.0,13.0,Baengnyeongdo
TP,13.0,30.0,Baengnyeongdo
TP,30.0,21.0,Baengnyeongdo
TP,21.0,57.0,Baengnyeongdo
FP,57.0,401.0,Baengnyeongdo
FN,276.0,21.0,Baengnyeongdo
FP,21.0,216.0,Baengnyeongdo
FN,216.0,22.0,Baengnyeongdo
TP,22.0,11.0,Baengnyeongdo
TP,11.0,11.0,Baengnyeongdo
FP,11.0,2432.0,Baengnyeongdo
FN,825.0,28.0,Baengnyeongdo
FN,28.0,21.0,Baengnyeongdo
TP,21.0,31.0,Baengnyeongdo
TP,31.0,30.0,Baengnyeongdo
FP,30.0,463.0,Baengnyeongdo
FP,101.0,190.0,Baengnyeongdo
FN,225.0,16.0,Baengnyeongdo
TP,16.0,80.0,Baengnyeongdo
FP,80.0,169.0,Baengnyeongdo
FP,119.0,177.0,Baengnyeongdo
FN,1168.0,21.0,Baengnyeongdo
FP,21.0,454.0,Baengnyeongdo
FN,2104.0,25.0,Baengnyeongdo
FP,25.0,110.0,Baengnyeongdo
FP,110.0,375.0,Baengnyeongdo
FP,118.0,624.0,Baengnyeongdo
FN,1213.0,27.0,Baengnyeongdo
FP,27.0,511.0,Baengnyeongdo
FP,105.0,141.0,Incheon
TP,110.0,14.0,Incheon
TP,14.0,16.0,Incheon
TP,16.0,17.0,Incheon
TP,17.0,20.0,Incheon
TP,20.0,26.0,Incheon
TP,26.0,26.0,Incheon
TP,26.0,25.0,Incheon
TP,25.0,18.0,Incheon
TP,18.0,17.0,Incheon
TP,17.0,12.0,Incheon
TP,12.0,12.0,Incheon
TP,12.0,17.0,Incheon
TP,17.0,14.0,Incheon
FP,14.0,119.0,Incheon
TP,119.0,24.0,Incheon
TP,24.0,44.0,Incheon
FP,44.0,315.0,Incheon
FN,315.0,13.0,Incheon
TP,13.0,37.0,Incheon
TP,37.0,15.0,Incheon
TP,15.0,30.0,Incheon
TP,30.0,14.0,Incheon
TP,14.0,20.0,Incheon
TP,20.0,19.0,Incheon
TP,19.0,14.0,Incheon
TP,14.0,64.0,Incheon
FP,64.0,394.0,Incheon
FN,605.0,32.0,Incheon
FP,32.0,381.0,Incheon
FN,2795.0,98.0,Incheon
FN,414.0,8.0,Incheon
FN,8.0,7.0,Incheon
FN,1289.0,73.0,Incheon
FN,73.0,14.0,Incheon
TP,14.0,22.0,Incheon
TP,22.0,55.0,Incheon
FP,55.0,177.0,Incheon
FN,204.0,7.0,Incheon
TP,7.0,7.0,Incheon
TP,7.0,10.0,Incheon
TP,10.0,9.0,Incheon
TP,9.0,8.0,Incheon
TP,8.0,41.0,Incheon
TP,41.0,64.0,Incheon
TP,64.0,94.0,Incheon
TP,94.0,44.0,Incheon
TP,44.0,44.0,Incheon
FP,44.0,251.0,Incheon
FN,274.0,23.0,Incheon
TP,23.0,21.0,Incheon
TP,21.0,14.0,Incheon
TP,14.0,23.0,Incheon
TP,23.0,61.0,Incheon
TP,61.0,80.0,Incheon
FP,80.0,351.0,Incheon
FN,368.0,90.0,Incheon
FN,90.0,94.0,Incheon
TP,94.0,37.0,Incheon
FP,37.0,118.0,Incheon
FN,118.0,11.0,Incheon
TP,11.0,6.0,Incheon
TP,6.0,11.0,Incheon
TP,11.0,19.0,Incheon
TP,19.0,40.0,Incheon
TP,40.0,14.0,Incheon
TP,14.0,41.0,Incheon
TP,41.0,34.0,Incheon
TP,34.0,88.0,Incheon
FN,88.0,90.0,Incheon
FN,209.0,84.0,Incheon
FN,84.0,25.0,Incheon
TP,25.0,34.0,Incheon
TP,34.0,22.0,Incheon
TP,22.0,41.0,Incheon
FP,41.0,173.0,Incheon
FN,144.0,39.0,Incheon
TP,39.0,14.0,Incheon
FP,14.0,118.0,Incheon
FN,118.0,71.0,Incheon
TP,71.0,94.0,Incheon
FN,144.0,94.0,Incheon
FN,965.0,49.0,Incheon
FN,225.0,31.0,Incheon
TP,31.0,26.0,Incheon
TP,26.0,35.0,Incheon
FP,35.0,270.0,Incheon
FN,338.0,21.0,Incheon
FP,21.0,432.0,Incheon
FN,616.0,44.0,Incheon
FP,44.0,1867.0,Incheon
FN,756.0,29.0,Incheon
TP,29.0,14.0,Incheon
TP,14.0,16.0,Incheon
TP,16.0,9.0,Incheon
TP,9.0,18.0,Incheon
TP,18.0,74.0,Incheon
FP,74.0,993.0,Incheon
FN,201.0,25.0,Incheon
TP,25.0,14.0,Incheon
TP,14.0,21.0,Incheon
TP,21.0,21.0,Incheon
TP,21.0,14.0,Incheon
FP,14.0,432.0,Incheon
FN,374.0,76.0,Incheon
TP,76.0,94.0,Incheon
TP,94.0,31.0,Incheon
FP,31.0,328.0,Incheon
FP,116.0,133.0,Incheon
FP,133.0,166.0,Incheon
FN,914.0,90.0,Incheon
FP,158.0,307.0,Incheon
FN,180.0,35.0,Incheon
FN,35.0,24.0,Incheon
FP,24.0,252.0,Incheon
FN,241.0,55.0,Incheon
FP,55.0,137.0,Incheon
FP,137.0,153.0,Incheon
FP,105.0,105.0,Incheon
FP,105.0,160.0,Incheon
TP,105.0,66.0,Incheon
FP,66.0,144.0,Incheon
FN,193.0,56.0,Incheon
FP,56.0,250.0,Incheon
FP,105.0,326.0,Incheon
FP,105.0,127.0,Incheon
FP,127.0,179.0,Incheon
FN,276.0,65.0,Incheon
FP,65.0,133.0,Incheon
FP,133.0,120.0,Incheon
FP,124.0,182.0,Incheon
FN,493.0,71.0,Incheon
FP,71.0,640.0,Incheon
FN,294.0,66.0,Incheon
FP,66.0,159.0,Incheon
FN,200.0,39.0,Incheon
TP,39.0,21.0,Incheon
TP,21.0,18.0,Incheon
TP,18.0,13.0,Incheon
TP,13.0,11.0,Incheon
TP,11.0,12.0,Incheon
TP,12.0,14.0,Incheon
TP,14.0,19.0,Incheon
TP,19.0,32.0,Incheon
TP,32.0,34.0,Incheon
TP,34.0,15.0,Incheon
TP,15.0,18.0,Incheon
FP,18.0,150.0,Incheon
FN,160.0,68.0,Incheon
FN,312.0,82.0,Incheon
FP,139.0,304.0,Incheon
FN,734.0,75.0,Incheon
FN,628.0,66.0,Incheon
FN,153.0,51.0,Incheon
FP,51.0,411.0,Incheon
TP,103.0,67.0,Incheon
FP,67.0,360.0,Incheon
FN,107.0,92.0,Incheon
FN,92.0,35.0,Incheon
FN,35.0,28.0,Incheon
TP,28.0,15.0,Incheon
TP,15.0,31.0,Incheon
TP,31.0,58.0,Incheon
FP,58.0,132.0,Incheon
FN,132.0,19.0,Incheon
TP,19.0,14.0,Incheon
TP,14.0,13.0,Incheon
TP,13.0,38.0,Incheon
TP,38.0,30.0,Incheon
TP,30.0,14.0,Incheon
TP,14.0,16.0,Incheon
TP,16.0,15.0,Incheon
TP,15.0,16.0,Incheon
TP,16.0,15.0,Incheon
TP,15.0,12.0,Incheon
TP,12.0,11.0,Incheon
TP,11.0,11.0,Incheon
TP,11.0,12.0,Incheon
TP,12.0,10.0,Incheon
TP,10.0,15.0,Incheon
TP,15.0,44.0,Incheon
FP,44.0,223.0,Incheon
FP,130.0,1064.0,Incheon
FN,125.0,30.0,Incheon
FP,30.0,287.0,Incheon
FN,165.0,52.0,Incheon
FN,542.0,88.0,Incheon
FN,172.0,81.0,Incheon
FN,81.0,94.0,Incheon
FP,94.0,156.0,Incheon
FN,224.0,32.0,Incheon
TP,32.0,64.0,Incheon
FP,64.0,130.0,Incheon
TP,105.0,44.0,Incheon
TP,44.0,77.0,Incheon
FP,77.0,106.0,Incheon
FN,994.0,56.0,Incheon
FN,56.0,60.0,Incheon
FP,60.0,447.0,Incheon
FN,331.0,39.0,Incheon
TP,39.0,16.0,Incheon
TP,16.0,22.0,Incheon
TP,22.0,14.0,Incheon
TP,14.0,14.0,Incheon
TP,14.0,14.0,Incheon
TP,14.0,18.0,Incheon
TP,18.0,16.0,Incheon
TP,16.0,22.0,Incheon
TP,22.0,15.0,Incheon
TP,15.0,29.0,Incheon
FP,29.0,276.0,Incheon
TP,114.0,27.0,Incheon
TP,27.0,36.0,Incheon
TP,36.0,11.0,Incheon
TP,11.0,13.0,Incheon
TP,13.0,16.0,Incheon
TP,16.0,15.0,Incheon
TP,15.0,19.0,Incheon
TP,19.0,17.0,Incheon
TP,17.0,13.0,Incheon
TP,13.0,26.0,Incheon
TP,26.0,17.0,Incheon
TP,17.0,84.0,Incheon
FP,84.0,751.0,Incheon
FN,137.0,79.0,Incheon
TP,79.0,90.0,Incheon
FN,215.0,20.0,Incheon
TP,20.0,45.0,Incheon
FP,45.0,194.0,Incheon
FP,123.0,389.0,Incheon
FN,498.0,7.0,Incheon
TP,7.0,18.0,Incheon
FP,18.0,814.0,Incheon
FN,188.0,89.0,Incheon
FN,225.0,75.0,Incheon
FP,75.0,128.0,Incheon
FN,354.0,77.0,Incheon
TP,77.0,17.0,Incheon
FP,17.0,384.0,Incheon
FN,158.0,94.0,Incheon
TP,94.0,93.0,Incheon
TP,93.0,61.0,Incheon
FP,61.0,105.0,Incheon
FN,203.0,12.0,Incheon
TP,12.0,10.0,Incheon
TP,10.0,10.0,Incheon
TP,10.0,21.0,Incheon
TP,21.0,16.0,Incheon
TP,16.0,20.0,Incheon
TP,20.0,19.0,Incheon
TP,19.0,91.0,Incheon
FP,91.0,303.0,Incheon
FN,149.0,70.0,Incheon
TP,70.0,19.0,Incheon
TP,19.0,27.0,Incheon
FP,27.0,157.0,Incheon
FN,899.0,15.0,Incheon
FP,15.0,438.0,Incheon
FN,438.0,44.0,Incheon
FP,44.0,290.0,Incheon
FN,226.0,88.0,Incheon
TP,88.0,70.0,Incheon
FP,70.0,181.0,Incheon
FP,110.0,107.0,Incheon
FP,107.0,317.0,Incheon
FN,216.0,64.0,Incheon
TP,64.0,55.0,Incheon
